Date,INDUS,KABUL,JEHLUM,CHENAB,Year
2022-01-01,16.9,8.6,6.3,5.4,2022
2022-01-02,16.5,8.5,6.3,5.4,2022
2022-01-03,16.7,8.9,5.1,5.4,2022
2022-01-04,16.5,8.7,6.3,5.4,2022
2022-01-05,16.3,8.6,5.7,6.7,2022
2022-01-06,15.8,8.7,5.7,6.7,2022
2022-01-07,15.8,8.8,6.3,6.7,2022
2022-01-08,16.3,8.7,6.3,6.7,2022
2022-01-09,16.5,8.9,6.3,5.5,2022
2022-01-10,16.7,9.2,5.7,5.5,2022
2022-01-11,17.4,9.1,5.9,5.5,2022
2022-01-12,18.8,10.6,8.0,5.5,2022
2022-01-13,18.3,11.1,8.0,5.5,2022
2022-01-14,18.6,11.4,7.2,6.5,2022
2022-01-15,17.2,11.2,8.7,6.5,2022
2022-01-16,16.9,11.4,7.2,6.5,2022
2022-01-17,16.5,11.3,8.7,6.5,2022
2022-01-18,16.3,11.5,8.7,7.2,2022
2022-01-19,16.1,10.8,7.2,7.2,2022
2022-01-20,17.4,10.1,5.8,7.2,2022
2022-01-21,16.3,10.5,7.2,7.2,2022
2022-01-22,16.3,10.8,6.5,7.2,2022
2022-01-23,16.3,11.6,7.2,7.2,2022
2022-01-24,14.7,11.5,7.2,7.2,2022
2022-01-25,16.5,11.6,9.2,7.2,2022
2022-01-26,17.4,11.3,5.8,7.2,2022
2022-01-27,17.7,11.9,6.5,9.1,2022
2022-01-28,17.0,11.9,8.0,7.7,2022
2022-01-29,17.4,11.3,7.2,10.0,2022
2022-01-30,17.0,10.8,9.7,5.5,2022
2022-01-31,17.2,10.9,13.3,36.8,2022
2022-02-01,17.2,10.6,11.6,16.0,2022
2022-02-02,16.2,10.9,10.7,12.2,2022
2022-02-03,15.3,11.9,13.3,10.1,2022
2022-02-04,17.2,11.4,10.0,9.1,2022
2022-02-05,16.4,11.7,10.0,9.1,2022
2022-02-06,17.4,10.6,10.2,9.8,2022
2022-02-07,18.1,11.5,11.4,11.1,2022
2022-02-08,17.3,12.0,16.4,10.3,2022
2022-02-09,17.2,12.4,13.4,9.2,2022
2022-02-10,18.1,12.1,12.9,10.1,2022
2022-02-11,21.4,11.9,15.7,10.7,2022
2022-02-12,17.9,14.3,15.7,11.2,2022
2022-02-13,16.8,14.2,14.3,9.6,2022
2022-02-14,17.9,13.1,12.2,9.9,2022
2022-02-15,17.6,12.4,11.5,7.6,2022
2022-02-16,17.2,12.3,11.5,8.0,2022
2022-02-17,17.6,12.7,13.6,8.1,2022
2022-02-18,17.9,13.0,11.5,12.1,2022
2022-02-19,17.9,14.3,15.9,11.3,2022
2022-02-20,18.7,14.8,17.4,12.8,2022
2022-02-21,18.7,15.0,19.7,14.1,2022
