Date,indus_at_tarbela (cfs),kabul_at_nowshera (cfs),jhelum_at_mangal (cfs),cheanab_at_marala (cfs),Year
1961-04-01,21332.55083,24904.98588,16877.60142,14684.9117,1961
1961-04-02,20797.53312,24114.99604,16432.6362,14355.0724,1961
1961-04-03,20262.51542,23325.0062,15987.67098,14024.87996,1961
1961-04-04,19727.49771,22535.01636,15542.35262,13695.04066,1961
1961-04-05,19192.48001,21745.02653,15097.3874,13364.84822,1961
1961-04-06,19727.49771,22535.01636,16022.63254,14075.02683,1961
1961-04-07,21332.55083,24904.98588,18317.38174,15824.87022,1961
1961-04-08,22937.60394,27274.9554,20612.4841,17575.06675,1961
1961-04-09,24542.65706,29644.92492,22907.58645,19324.91013,1961
1961-04-10,26147.35703,32014.89443,25202.6888,21075.10667,1961
1961-04-11,27870.00809,34525.06331,27717.44859,22915.00254,1961
1961-04-12,29709.90396,37175.0784,30452.5721,24844.95089,1961
1961-04-13,31550.15298,39825.09348,33187.69562,26774.89925,1961
1961-04-14,33390.04885,42475.10857,35922.46599,28705.20075,1961
1961-04-15,35229.94472,45125.12366,38657.5895,30635.1491,1961
1961-04-16,35530.11967,45635.06793,39142.46033,31164.8696,1961
1961-04-17,34289.86741,44004.94138,37377.43163,30295.06854,1961
1961-04-18,33049.96829,42375.16797,35612.40292,29424.91433,1961
1961-04-19,31810.06917,40745.04142,33847.37422,28555.11327,1961
1961-04-20,30570.17006,39114.91487,32082.69866,27684.95907,1961
1961-04-21,29252.5786,37487.61349,30492.47772,27124.86792,1961
1961-04-22,27857.64795,35862.431,29077.41769,26875.19299,1961
1961-04-23,26462.36415,34237.60165,27662.35766,26625.16492,1961
1961-04-24,25067.4335,32612.41916,26247.65078,26375.13684,1961
1961-04-25,23672.50285,30987.58981,24832.59075,26125.10877,1961
1961-04-26,24127.35619,31492.59002,24967.4929,26035.05628,1961
1961-04-27,26432.6998,34127.41979,26652.35724,26104.97939,1961
1961-04-28,28737.69027,36762.6027,28337.57472,26174.90249,1961
1961-04-29,31042.68074,39397.43247,30022.43906,26245.17875,1961
1961-04-30,33347.67121,42032.61538,31707.65654,26315.10185,1961
1961-05-01,35307.63706,44527.59894,33062.68158,26242.35357,1961
1961-05-02,36922.57829,46882.38313,34087.51418,26027.64019,1961
1961-05-03,38537.51952,49237.52048,35112.69992,25812.57367,1961
1961-05-04,40152.46075,51592.65782,36137.53251,25597.50715,1961
1961-05-05,41767.40198,53947.44201,37162.3651,25382.44063,1961
1961-05-06,42912.65771,54732.4878,37957.65215,25577.37777,1961
1961-05-07,43587.52162,53947.44201,38522.68735,26182.67173,1961
1961-05-08,44262.38554,53162.39623,39087.3694,26787.61254,1961
1961-05-09,44937.6026,52377.7036,39652.4046,27392.55335,1961
1961-05-10,45612.46652,51592.65782,40217.4398,27997.49416,1961
1961-05-11,46177.50172,51225.03179,41009.90167,28504.9664,1961
1961-05-12,46632.7082,51275.17867,42030.14335,28914.97007,1961
1961-05-13,47087.56154,51324.97239,43050.03189,29324.97373,1961
1961-05-14,47542.41488,51375.11927,44069.92042,29734.9774,1961
1961-05-15,47997.62136,51424.91299,45090.16211,30144.98107,1961
1961-05-16,49362.53451,51375.11927,45429.88952,30534.85536,1961
1961-05-17,51637.50749,51225.03179,45090.16211,30904.95341,1961
1961-05-18,53912.48046,51074.94432,44750.08155,31275.05147,1961
1961-05-19,56187.45344,50925.20999,44410.00099,31645.14952,1961
1961-05-20,58462.42641,50775.12251,44069.92042,32014.89443,1961
1961-05-21,57993.09405,49777.48224,43568.09854,31699.88731,1961
1961-05-22,54779.45635,47931.93602,42904.53532,30700.12815,1961
1961-05-23,51565.81865,46086.38979,42240.97211,29700.01585,1961
1961-05-24,48352.18095,44240.84357,41577.4089,28699.90354,1961
1961-05-25,45138.54325,42395.6505,40913.84569,27700.14439,1961
1961-05-26,44359.14782,41427.32142,40581.88751,27372.77712,1961
1961-05-27,58184.14657,45722.64838,42240.97211,31081.88006,1961
1961-05-28,74443.3876,50895.54564,44232.0149,35463.72803,1961
1961-05-29,90702.27548,56068.08975,46222.70454,39845.57601,1961
1961-05-30,106961.5165,61240.98701,48213.74732,44227.42399,1961
1961-05-31,123220.4044,66413.53111,50204.43696,48609.27196,1961
1961-06-01,141697.7617,72275.06502,52507.6617,53397.59214,1961
1961-06-02,162392.5291,78825.23558,55122.71523,58592.38451,1961
1961-06-03,183087.6496,85375.05299,57737.41562,63787.53002,1961
1961-06-04,203782.7701,91925.22354,60352.46915,68982.67554,1961
1961-06-05,224477.8906,98475.04095,62967.52269,74177.46791,1961
1961-06-06,228842.7875,99445.13576,63272.6417,75662.45104,1961
1961-06-07,216877.814,94835.15482,61267.47303,73437.62494,1961
1961-06-08,204912.8405,90225.17388,59262.65751,71212.4457,1961
1961-06-09,192947.8669,85615.19295,57257.48885,68987.6196,1961
1961-06-10,180982.5403,81005.21201,55252.67333,66762.44035,1961
1961-06-11,173025.0789,77380.15805,53732.37549,65255.20895,1961
1961-06-12,169075.1297,74740.03108,52697.65478,64465.21912,1961
1961-06-13,165125.1806,72099.90411,51662.58092,63675.22928,1961
1961-06-14,161175.2314,69460.13028,50627.50707,62884.88629,1961
1961-06-15,157225.2822,66820.00331,49592.43321,62094.89645,1961
1961-06-16,153575.1548,65819.89101,48927.45741,62145.04333,1961
1961-06-17,150225.2023,66460.14652,48632.57966,63034.97377,1961
1961-06-18,146875.2499,67100.04888,48337.70192,63924.90421,1961
1961-06-19,143525.2974,67739.95125,48042.47103,64815.18779,1961
1961-06-20,140174.9919,68380.20676,47747.59328,65705.11823,1961
1961-06-21,132850.0168,68212.46193,46947.71533,66237.66391,1961
1961-06-22,121550.0191,67237.42307,45642.48402,66412.47167,1961
1961-06-23,110250.0214,66262.73735,44337.60585,66587.63259,1961
1961-06-24,98950.02367,65287.69848,43032.37454,66762.44035,1961
1961-06-25,87650.02596,64312.65961,41727.49637,66937.60126,1961
1961-06-26,91949.94383,64927.48854,42072.52099,67702.51766,1961
1961-06-27,111850.1304,67132.53841,44067.4484,69057.5427,1961
1961-06-28,131749.9639,69337.58827,46062.3758,70412.56774,1961
1961-06-29,151650.1505,71542.63814,48057.65635,71767.59278,1961
1961-06-30,171550.3371,73747.68801,50052.58375,73122.61782,1961
1961-07-01,189325.285,76009.94769,52149.92378,74057.39793,1961
1961-07-02,204975.3475,78330.12348,54350.02959,74572.6394,1961
1961-07-03,220625.0568,80649.94613,56550.1354,75087.52773,1961
1961-07-04,236275.1192,82970.12192,58749.88807,75602.41605,1961
1961-07-05,251925.1817,85289.94456,60949.99388,76117.65753,1961
1961-07-06,260475.2237,85790.00071,61090.19324,77722.71064,1961
1961-07-07,261925.2453,84469.93722,59170.133,80417.5754,1961
1961-07-08,263375.2669,83150.22689,57250.07276,83112.44016,1961
